context,wrong,right
"Namun, Grande bukanlah satu-staunya bintang malam itu.",satu-staunya,satu-satunya
"Menanggapi hal itu, Bupati Bengkalis, Herliyan Saleh, mengatakan pemerintah daerah sedang mempersiapkan perencanangan program talangan untuk mengatasi harga karet yang rendah.",perencanangan,perencanaan
Mememasuk babak kedua pelatih Indra Sjafri mulai mengubah strategi yang salah satunya dengan memasukkan Dimas Drajat untuk menggantikan Dinan Javier.,Mememasuk,Memasuk
Dalam amar putusannya Hakim Mahkamah Agung dipimp in Joko Sarwoko dengan anggota Qomariyah  E Sapardjaya dan Mahdi Sirendra Nasution menjatuhkan vonis 18 bulan penjara denda Rp 50 juta atau bila denda tidak terbayat diganti dengan hukuman tiga bulan penjara terhadap Somarsono yang kini menjabat Kepala Dinas Pariwisata Pemuda dan Olahraga.,dipimp,dipimpin
Laga akan digelar di Stade de France -di laga pembuka- dan artinya pertandingan ini demikian istimewa.,pembuka-,pembukaan
"""Sempat jadi bahasan keluarga atas kondisi bpk tatang saat diwawancarai.",tatang,tentang
"Nyong'o juga memakai perhiasan belrian dan emas karya Fred Leighton, selain juga mengenakan cincin emas yang diakuinya sebagai peninggalan keluarga.",belrian,berlian
"Adapun ruang lingkup kerja sama keempat lembaga itu meliputi techincal capacity building untuk peningkatan soft skills sumber daya insani, tata kelola yang baik (Good Corporate Governance) dan infrastruktur penunjang, riset optimalisasi zakat dan wakaf, serta edukasi dan sosialisasi sektor ekonomi dan keuangan syariah di Indonesia.",techincal,technical
Dia pun berharap pembahasan Rancangan Undan-undang (RUU) Penghapusan Kekerasan Seksual nantinya memiliki perspektif bahwasannya anak merupakan aspek utama dalam pembangunan.,Undan-undang,Undang-Undang
"Selain aktivis antikorupsi, Mathur saat ini juga menjabat wakil ketua pemenangan Pemilu dan pernah mencalonkan diri sebagai legistalor DPRD Provinsi Jawa Timur daerah pemilihan Madura.",legistalor,legislator
"Saya admiral angkatan laut, tetapi saya sederhana, kalau ada anak buah saya ngajukan proyek bikin jalan, biayanya Rp 200 miliar, waktunya dua tahun, saya otomatis potong jadi Rp 100 miliar satu tahun harus jadi.",ngajukan,mengajukan
"Tapi, jika parpol itu melakukan pelanggaran pidana maka bisa berakibat didiskulaifikasi dari Pemilu 2009.",didiskulaifikasi,didiskualifikasi
"Sementara itu dari Pantauan CCTV, untuk kawasan Riung Gunung, Rindu Alam dan Mesjid Attawaun hanya diselimuti kabut tebal mulai dari pukul 19.00 WIB.",Attawaun,Atta'awun
GrabBike menyediak 30 Lure yang tersebar di sejumlah kawasan di Monas.,menyediak,menyediakan
"Keempat tersangka itu adalah RA (31) warga Jalan Suluh, Medan Tembung, DL (26) warga Jalan Wiliem Iskandar, IS (25) warga Jalan Besar Sibiru Biru, dan seorang penadah A alias E (30) warga Desa Bandar Khalifah, Percut Seituan.",Wiliem,William
"Korban sempat melawan, namun terkan luka tusukan senjata tajam di dada hingga meninggal dunia.",terkan,terkena
"BANDUNG, KOMPAS.com - Polri melakukan kerjasama bersama Kepolisian Diraja Malaysia guna meningkatkan kualitas jajaran keposilian di dua negara, antara lain membahas tugas-tugas kepolisian dilapangan.",keposilian,kepolisian
Pratikno mengatakan pembangunan wisma atlet tersebut telah didisuskan dengan BPKP dan juga Kejaksaan Agung.,didisuskan,didiskusikan
"Tunjungan, Pasar Malam Toenjungan 1-31 Mei di Pakuwon City, Fun Bike 25 Mei di Taman Surya, Jambore Sepeda Kuno 30-31 Mei dan 1 Juni 2014 di Taman Hiburan Rakyat.",Toenjungan,Tunjungan
Tujuan lainnya adalah membentuk wadah yang bisa membantu kerja atau tugas dan kewajiban aparat dalam menanggulangi dan menecgah kemaksiatan di Banten.,menecgah,mencegah
"""Ketiga terdakwa tersebut, berinisial GK (24) dan SG (39) warga Desa Sei Musam, Kecamaatan Batang Serangan dan SS (30) warga Desa Timbang Lawan, Bahorok, Kabupaten Langkat,"" kata Jaksa Penuntut Umum (JPU) Teorida Ambarita dalam dakwaannya di Pengadilan Negeri (PN) Medan, Selasa.",Kecamaatan,kecamatan
Dia memberi alasan penghapusan kelas akselerasi yang disebutknya dilandasi beberapa hasil kajian.,disebutknya,disebutkannya
"Selain Ramadhan, KPK menjadwalkan pemeriksaan saksi lainnya hari ini, yakni mantan Sekretaris Kemenpora Wafid Muharam, Pengurus DPP Demokrat, Hutomo Agus Subekti, dan Project Direktru Property PT Adhi Karya - Ir.",Direktru,Direktur
"WANGI-WANGI, KOMPAS.com - Upacara peringatan kemerdekaan RI ke-66, tanggal 17 Agustus 2011, di Wakatobi, Sulawesi Tenggara, dirayakan di bawah laut.",kemerdeka,kemerdekaan
"Pemberitahuannya cuma ada di tempat pendaftraan pasien, katanya hanya kondisi gawat saja yang akan dilayani,"" jelasnya.",pendaftraan,pendaftaran
"Direktur Jenderal Nilai Budaya, Seni, dan Film Direktorat Jenderal Nilai Budaya, Seni dan Film Departemen Kebduayaan dan Pariwisata Tjetjep Suparman seusai pembukaan mengatakan, pembukaan yang sedianya menampilkan keanekaragaman budaya Lampung belum dilakukan maksimal.",Kebduayaan,Kebudayaan
Dia menjelaskan wilayah perairan yang strategis tersebut meliputi Selat Boshporus yang memisahkan Turki bagian Eropa dan bagian Asia serta menghubungkan Laut Marmara dengan Laut Hitam.,Boshporus,Bosphorus
Desain gedung JFM membuat opeasioal kurang efesien dan tidak efektif.,opeasioal,operasional
"""Tetapi di babak kedua, setelah mendapatkan evaluasi dan motivasi Boaz TE Salossa dan kawan-kawan mencoba memaksamilkan hasil akhir terbukti dengan 30 menit akhir bisa mengurung pertahanan lawan,"" katanya.",memaksamilkan,memaksimalkan
"Seteah kesehatannya pulih, mereka akan ditempatkan di Layanan Perlindungan Anak.",Seteah,setelah
"Bencana alam datang, kemenkominfo koordinasi dengan penyelenggara telekomunikasi",kemenkominfo,kemkominfo
"Fauzi Bowo mengatakan, agar  pemudik tidak membawa keluarganya yang tidak mempunyai keetrampilan saat kembali ke Jakarta.",keetrampilan,keterampilan
Dia mengakatakan akan meneliti lebih jauh keresahan sebagian masyarakat mengenai penayangan yang menyudutkan agama.,mengakatakan,mengatakan
"Hal ini disebabkan karena pemilihan melalui DPRD, membuat penganut politik dinasti tidak dapat lagi mengusung kerabat atau sanak sodaranya karena pemilihan dilakukan oleh DPRD.",sodaranya,saudaranya
"""Sumpah dan janji dilakukan dalam rangka memuwujudkan PNS Kutai Kartanegara yang selalu berpegang teguh kepada nilai-nilai etika dan bermoral, sehingga tercipta aparatur yang bersih baik sebagai aparatur negara maupun abdi masyarakat,"" ujar Ridha.",memuwujudkan,mewujudkan
"Ha-ha-ha... Dihubung-hubungin begitu terus,"" tutur mantan Rektor Universitas Gadjah Mada itu.",Dihubung-hubungin,Dihubung-hubungkan
Rapart Paripurna DPR ditutup karena tak kourum,kourum,kuorum
Duo yang selalu kompak baik di tingkat nasional maupun daerah tersebut menginisiasi barisan antiGubernur Basuki T Purnama.,antiGubernur,anti-gubernur
Ia mengaku resah dan khawaitr akan terjadi gempa susulan di malam hari.,khawaitr,khawatir
"""Kami para kyai Kampung mendukung untuk memenangkan Prabowo Subiakto-Hatta Rajasa,"" kata Pengasuh Pondok Pensantran Delimo, Banyuwangi, Kyai Haji Suyuti Toha, di Banyuwangi, Sabtu sore.",Pensantran,Pesantren
Adapun pelantikan anggota KPU di dua Ka bupaten Tulungagung dan Kabupaten Proboling serta dua anggota KPU Nganjuk.,bupaten,kabupaten
Mabes Polri memerinthan langsung untuk melakukan penanganan serius.,memerinthan,memerintah
"Setelah melewati awal yang buruk dalam kampanyenya, kepercayaan diri Schalke lagi menanjak berkat tiga kemenangan berturut-tuturnya di liga domestik.",berturut-tuturnya,berturut-turutnya
"Disinggung  mengenai kasus pelecehan seksual yang menimpa seorang murid TK JIS,  Ni'am mengatakan pihaknya fokus ke pemulihan korban dan penanganan kasus  hukum terhadap perlaku.",perlaku,perlakuan
Pejabat-pejabat AS membenarkan bahwa Alamoudi dan Ismael telah menyampaikan keterangan detil mengenai plot Libay untuk membunuh Pangeran Abdullah.,Libay,Libya
Sebnyak 31 calon tenaga kerja Indonesia (TKI) itu mendaftar ke Bursa Kerja Luar Negeri (BKLN) Wira Ayu Mandiri (WAM).,Sebnyak,sebanyak
Penerapan teknologi modifikasi cauca oleh BPPT menelan biaya sekitar Rp25 miliar yang didanai sepenuhnya oleh Badan Nasional Penanggulangan Bencana (BNPB).,cauca,cuaca
"Kapolsekta Serengan AKP Kamiran di lokasi penemuan mengatakan, pihaknya menduga kemungkinan benda-benda itu kepunyaan pemilik rumah sebelumnya yaitu Letkol Suwanto, perwira TNI AU yang purnawira pada tahun 1961 dan wafat beberapa tahun setelah itu.",Kapolsekta,Kapolsek
PBR memang menghormati tingkat kejawaan SBY yang tinggi dengan sikap santunnya.,kejawaan,kejawen
"Dia melanjutkan, pemeriksaan Hafitd dan Assyifa di Polda Metro Jaya dilakukan untuk melengkapi berita acara pemeriksan (BAP) kasus pembunuhahan Ade Sara.",pembunuhahan,pembunuhan
"""Selama ini, masyarakat menganggap jamur sebagai racun, karena itu kami bermaksud mengubah pandangan masyarakat yang salah itu melalui jamur tiram dalam baglog untuk ucapan selamat, seperti happy engagement, I love u, be happy, waiting for you, rindoe kamoe, maafkan salahkoe, dan sebagainya.",rindoe,rindu
"Sebagai akibat dari kegagalan ini, beberapa sel binatang memiliki genotipe betina dan yang lain jantan, membuat binatang itu memiliki karaktersitik jantan dan betina.",karaktersitik,karakteristik
"Silvarani, penulis yang telah menovelisasi film ""Super Didi"" dan ""3 Srikandi"", diberi kesempatan untuk mewujudkan cerita Cinta dan Rangga ke dalam lembaran kertas novel.",menovelisasi,novelisasi
"Selain bertanding, mereka akan menyapa penggemar mereka, memberi kepada pemain usia 8-14 tahun serta pelatihan terbuka 5.000 fans yang beruntung oleh staf pelatih Timnas Belanda, seperti Louis van Gaal, Danny Blind, Patrick Kluivert, dan Frnas Hoek.",Frnas,Frans
"Bagi pemantau lokal, jika melanggar aakn diproses secara hukum.",aakn,akan
"Ini tugas berat tapi menjadi komitmen G20, karena pertumbuhan bisa mengatasi masalah sosial, seperti pengangguran, kemsikinan dan ketimpangan,"" ujarnya.",kemsikinan,kemiskinan
"Namun, sistem transportasi ini dibutuhkan untuk memberi keuntungan jangka panjang dan membuat Indonesia tidak tertinggal dibandingak negara lain.",dibandingak,dibandingkan
"Menurut Dara Mentari, ketua bidang kompetisi yang juga puteri dari Achamd Dradjat pendiri Kodrat, saat ini olah raga Tarung Derajat sudah berkembang di hamopur semua negara ASEAN.",hamopur,hampir
"Ia mengatakan, melalui perjalanan panjang sejak 2000 oleh Tim  peneliti Balitbangdias bekerjasama dengan Politeknik Sorong dan  IRD,  mengembanga ikan pelangi dan pengembangan budidaya dilakukan secara maupun",mengembanga,mengembangkan
"Rekan satu tim Marquez, Dani Pedrosa, berada di ruutan ketiga.",ruutan,urutan
"Meski demikian, tanda-tadna tersebut tidak ada pada jerapah tersebut.",tanda-tadna,tanda-tanda
"Medan (ANTARA News) - Kepala  Dinas Pengelolaan Sumber Daya Air atau PSDA Sumatera Utara,  Dinsyah menegaskan, pembangunan Bendungan Lau Seimeme di Deli Serdang masih menunggu izin pakai lahan  dari Menteri Kehutanan.",Seimeme,Seisme
Ancamannya juga karena hilangnya habitat mereka dan defortasi yang disebabkan perluasan lahan pertanian dan perkebunan.,defortasi,deforestasi
"Batam (ANTARA News) - Gerak Jalan Napak Tilas Raja Ali Kenala yang dilaksanakan sebagai rangkaian pembukaan Hari Pers Nasional 2015 Kepri di Kota Batam, Minggu pagi diikuti oleh ribuan masyarakat Kota Batam.",Kenala,Kelana
Ia pun mengaku sangat mengagumi hasil kerjainan tangan dari masyarakat Indonesia.,kerjainan,kerajinan
"Italia tertinggal empat angka dari pemuncak klasemen Kroasia, yang di atas kertas memiliki 14 angka namun harus mendapat pengurangan satu angka menyusul hasil imbang 1-1 dengan Italia pada Juni setelah simbol stastika muncul di lapangan sebelum pertandingan di Zagreb.",stastika,statistika
"Akinffeyev yang kini berusia 26 tahun diharapkan memberi sesuatu yang berharga bagi negaranya, sementara mantan pemain belakang Chelsea, Yuri Zhirkov dihararapkan dapat membela timnas Rusia.",dihararapkan,diharapkan
"""Mudah-mudahan Prabowo-Hatta bisa mengentaskan bangsa Indonesia dari keawamanan dan menjadi bangsa yang maju sehingga tidak mudah percaya dengan fitnah dan pencitraan,"" ujarnya.",keawamanan,keamanan
Pallium adalah salah satu vestimentum gerejawi dalam Gereja Katolik Roma yang selama berabad-abad dianugerahkan oleh Paus kepada para uskup metropolit dan primat sebagai lambang dari yurisdiksi yang diembankan kepada mereka oleh Tahta Suci.,metropolit,metropolitan
"Untuk setiap tugas, anak-anak ini diberi waktu lima menit mengerjakan lalu istirarahat dengan waktu yang sama, kemudian diukur denyut nadi dan kondisi fisiknya.",istirarahat,istirahat
"Dalam aksi ini, pendemo melakukan aksi teatrikal berupa memotongan ayam.",memotongan,memotong
"Setelah malam, ketika pusat kota lama Lille dipenuhi penduduk setempat yang menyaksikan dari televisi kemenangan Prancis dari Albania, konfrontasi antas kelompok-kelompok kecil pendukung memaksa polisi anti huru-hara campur tangan, memisahkan para pendukung dengan menggunakan semprotan merica, anjing dan granat akustik.",antas,antara
"""Dengan penghargaan ini pemerintah berharap dapat bekerjasama dengan kelompok masyarakat pribumi untuk meningkatkan pelayanan kepada mereka dan mengakhiri kenjangan yang selama ini terjadi antara masyarakat pribumi dan non pribumi,"" terang dia.",kenjangan,kesenjangan
"Oleh karena itu, dirinya meminta semua pihak, khususnya TNI dan Polri untuk lebih kuat dalam menjaga keadulatan negara ini agar disegani oleh negara lain.",keadulatan,kedaulatan
"""Kami berharap peran aktif anda untuk mengakhiri serangan Arab Saudi etrhadap kami karena tak memiliki alasan,"" isi surat yang ditulisnya pada PBB.",etrhadap,terhadap
"Sebab, jika keduanya tanpa menawarkan konsep dan perubahan, berarti hanya merupakan suksesi biolgois atau sekadar power shift.",biolgois,biologis
Dia selalu berharap anaknya akan meneleponnya untuk melakukan kontak dan telah meng-email-i Jobs beberapa kali dalam upaya untuk berbicara.,meng-email-i,mengemaili
Perjanjian perdamaian yang difasilitasi oleh Polda Jabar dan Polda Metro Jaya tersebut ditandai dengan penandatangnaan fakta perdamaian  Ketua Viking Persib Fans Club dan Ketua Jakmania yang disaksikan oleh ratusan perwakilan kedua kubu suporter sepak bola itu.,penandatangnaan,penandatanganan
"""Belum ada komunikasi appaun selain berkomunikasi di internal KPK sendiri,"" ungkap Johan.",appaun,apapun
"Satuan Tugas Kontingen Garuda XX-J yang terdiri atas 151 anggota TNI Angkatan Darat, 19 TNI Angkatan Laut dan lima TNI Angkatan Udara juga bergabung dengan misi yang bersifat multidimesi di Kongo.",multidimesi,multi-dimensi
"London (ANTARA News) - Pelatih asal Belanda Ronald Koeman diangkat sebagai pelatih baru Everton pada Selasa setelah Southmapton menerima pengunduran dirinya, demikian dikatakan klub liga Inggris tersebut.",Southmapton,Southampton
Materi yang membentuk Tata Surya adalah awan debu dan gas yang mengelingi bintang mudanya.,mengelingi,mengelilingi
"Ia juga mengaku belum tahu arti kata ""brayut"" meskipun mencoba mengira-ira bahwa kata itu kemungkinan berasal dari ""brayat"" dalam bahasa Jawa yang berarti keluarga besar.",mengira-ira,mengira-ngira
"""Trans Kalimantan dapat memperlancar distribusi kebutuhan warga di wilayah Kaltim, sehingga gangguan pasokan dapat dikurangi,"" kata Capres yang mengusung visi Indonesia Adil, Makmur dan ber-Martabat (AAM).",ber-Martabat,bermartabat
"Kantor berita Reuters mealporkan, pihak berwenang di Burkina Faso menunjuk mantan menteri luar negeri Michel Kafando sebagai presiden transisi.",mealporkan,melaporkan
"Tajuk tersebut diterbitkan setelah sekelompok orang mengenakan rompi oranye bertuliskan ""Shariah Police"" melakukan patroli di jalanan-jalan kota Wuppertal.",jalanan-jalan,jalan-jalan
"""Dalam praktiknya forum mengenai penentuan saksi dilakukan bersama-sama dengan satgas, direktur dan kontrol dari deputi, ada mekanisme internal yang dibangun, teman-teman penyidik punya kebebasasan untuk menentukan siapa yang perlu dipanggil,"" jelas Bambang.",kebebasasan,kebebasan
"CO. ID,PALEMBANG--Sejumlah maskapai penerbangan menunda keberangkat pesawat tujuan Jakarta akibat tebalnya kabut asap di Bandara Sultan Mahmud Badaruddin II Palembang, Sumatera Selatan, Senin pagi.",keberangkat,keberangkatan
"""Ini memang yang kami harapkan selama ini, karena jika mengandalkan layanan PDAM yang tidak mencukupi kami sangat kesulitan memenuhi kebutuhna air bersih,"" katanya.",kebutuhna,kebutuhan
Kooridnator Komisi untuk Orang Hilang dan Korban Tindak Kekerasan (KontaS) Haris Azhar mempertanyakan siapa yang mewacanakan rekonsiliasi sebagai solusi.,Kooridnator,Koordinator
Nerazzurri gagal memanfaatkan permainan dominannya setelah kebobolan pada menit 55 ketika Molinaro memaksimalahkan  Maxi Lopez dengan menaklukkan kiper Samir Handanovic lewat tendangan kaki kanannya.,memaksimalahkan,memaksimalkan
"Iaenuturkan jika bus tidak memiliki , maka pengemudi akan memacu kendaraannya dengan tidak terkontrol dan hanya menggunakan saja dan itu cukup membahayakan keselamatan.",Iaenuturkan,Menuturkan
"Dikatakan Keymutu, proses penangkapan dan penahanan atas kliennya merupakan pelanggaran hukum dan hak asasi manusia.",Keymutu,Kelimutu
"""Beberapa peraturan tersebut diantaranya terkait dengan regulasi mengenai tenaga kerja, standarisasi dan peraturan mengenai sertififikasi halal,"" ujarnya.",sertififikasi,sertifikasi
Pertamina diyakini sudah mengetahui antrena panjang pembeli BBM.,antrena,antre
"Namun, rumor-rumor tak sedap itu kemudian dimentahkan dengan penampilanannya di depan publik dengan wajah yang lebih segar meskipun dalam beberapa bulan terakhir Chavez tampil dengan kepala plontos.",penampilanannya,penampilannya
"""Tidak dibenarkan siapa pun menghina, merendahkan ataupun mendeskriditkan kinerja aparat, apalagi sesama aparat, kita tindak tegas.",mendeskriditkan,mendiskreditkan
"Abdul mengatakan setelah puncak haji, pemerintah menegoisasi agar jamaah masuk .",menegoisasi,menegosiasi
"Selain itu,  kurangnya pasokan barang kebutuhan pokok terutama sayur, buah, dan daging segar asal dalam negeri abik dari segi jumlah ketersediaan dan harga.",abik,baik
"Menurutnya, keniakan yang berada diakhir bulan ini sangat terasa sekali, terlebih dirinya belum menerima gaji dari kantornya.",keniakan,kenaikan
"Selain itu, para pemain Arema juga diminta untuk lebih disiplin dan bersabar dalam neghadapi Persepam, sebab Persepam merupakan tim yang cukup tangguh, meski berstatus tim promosi.",neghadapi,menghadapi
Janji-jani tersebut ditagih mahasiswa ke kantor Bupati Pamekasan.,Janji-jani,janji-janji
"Manager Humas PT KAI Daop 8 Surabaya, Sumarsono mengatakan pengunaan tiket thermal untuk mengantisipasi adanya antrean pada saat melakukan pencetakaan tiket secara mandiri.",pencetakaan,percetakan
Kerusuhan saling melempar botol minuman dan benda keras antara pendukung kedua kebelasan timbul.,kebelasan,kesebelasan
Raya Casablanca arah Timur depan Kuburan.- Casablanca sebelum Fly Over Supomo.- Jl.,Kuburan.-,Kuburan
"Efeknya, harusnya korupsi hilang,"" ujar Fahri Fahri dalam diskusi Menimbang Eksistensi KPK di Jakarta, Kamis..",Kamis..,Kamis
"""Penghargaan ini diberikan atas inovasi dan kreavitas para peneliti,"" katanya.",kreavitas,kreativitas
Mudah-mudahanya tidak berkaitan dengan pilgub Jakarta.,Mudah-mudahanya,mudah-mudahannya
"Hamilton mencatat waktu 1 menit 37.106 detik dan memacu kenadraannya lebih cepat dari pada dua pebalap Mercedes asal Jerman, Nico Rosberg dan Michael Schumacher.",kenadraannya,kendaraannya
"Meski satu abad sudah berlalu, kumpulan nasihat yang termaktub dalam Gurindam Dua Belas masih dan akan selalu menemukan relevasinya di masyarakat.",relevasinya,relevansi-nya
"""Ya, konstituen banyak yang meminta Pak Jusuf Kalla karena beliau memrepresentasikan umat Islam.",memrepresentasikan,mempresentasikan
"""Saya minta pada para pengacara tersangka Margrite jangan hanya cari sensasi dalam kasus Engeline,"" ujarnya di depan Pengadilan Negeri Denpasar.",Margrite,Marguerite
"Teganag tersebut, kata Hibrar, sudah cukup dapat memberi efek kejut yang cukup.",Teganag,Tegangan
"Setelah sukses dengan ekspedisi ini, Cordozo berencana menjualnya secara komersial dengan hraga 50.000 poundsterling per unitnya.",hraga,harga
"Menanggapi hal itu, Ketua Komisi VII DPR, Kardaya Warnika menilai kebijak pemerintah dalam menetapkan harga bahan bakar minyak tidak transparan.",kebijak,kebijakan
Malam itu ia menuangkan anggur Camanere ke gelas beberapa mitra bisnisnya.,Camanere,Carmenere
"Menurut dia, Rudi juga kerap mendapat sindiran soal pembeiran THR dari anggota Komisi VII DPR yang membidangi pertambangan, energi dan lingkungan hidup saat rapat.",pembeiran,pemberian
"Jadi perlu kecermatan dalam mengumpulkan dan menentukan fakta-fakta hukum yang ada, termasuk keterangan-kerangan saksi.",keterangan-kerangan,keterangan-keterangan
"Tapi, juga salah satu agen pemain dan pelatih kenamanaan Indonesia.",kenamanaan,keamanan
"Mengutip data ukuran kemiskinan Bank Dunia yang mengatakan penduduk miskin adalah mereka yang pengeluarannya kurang dari dua Dollar AS per hari, Fuad mengatakan, tahun 2004 saat Susilo Bambang Yudhoyono mulai berkuasa jumlah penduduk miskinan mencapai 98,4 juta.",miskinan,kemiskinan
"Kubu Tito Vilanova yang sebentar lagi menjadi juara La Liga dan mungkin Liga Champions, telah mengumumkan rencana bermain melawan China (3 Agustus) dan Thailand (7 Agustus) selama tur prammusim-nya di Asia.",prammusim-nya,pramusimnya
Tampak diantaranya Adian Napitutupulu dan Endre Syaiful.,Napitutupulu,Napitupulu
Sebaliknya Prijono melihat pemerintah jusrtu kurang proaktif.,jusrtu,justru
Wamenhub mengemukakakan bahwa hal itu akan menjadi proyek percontohan mengingat perubahan tata kelola dari UPT menjadi kemitraan publik-swasta merupakan hal yang baru.,mengemukakakan,mengemukakan
"""Kita juga pasnag rambu tambahan di jalur alternatif,"" tegas Triyono.",pasnag,pasang
"""Ini adalah nama-nama PTS di Meulaaboh yang telah mendapat legalitas operasional dari Direktorari Perguruan Tinggi Swasta Sumatra Utara-Aceh tahun 2011, yang diterbitkan oleh Kementrian Pendidikan Nasional,"" katanya.",Direktorari,Direktori
"Istri bupati ikut populerkan ""Mie Belitung""",populerkan,dipopulerkan
"Berikut garis besar pengurus DPP Partai Golkar 2009-2015:- Ketua Umum: Aburizal Bakrie- Wakil Ketua Umum: Agung Laksono, Theo L Sambuaga- Ketua Bidang Kaderisasi: Hafiz Zawawi- Ketua Bidang Organisasi: Mahyudin- Ketua Bidang Hubungan Eksekutif dan Yudikatif: Rusli Zainal- Ketua Bidang Hubungan Legislatif: Priyo Budi Santoso- Ketua Bidang Informasi: Fuad Mansyur- Ketua Bidang Perempuan: Ratu Atut Chosiyah- Ketua Bidang Pemuda: Yorris Raweyai- Bendahara Umum: Setyo Novanto- Sekjen: Idrus Marham- Wasekjen, di antaranya Muhidin, Ahmad Doly Kurnia, Titiek Soeharto, Mujib Rahmad, Nurul Arifin, dan Harry Azhar Azis.- Dan sejumlah ketua bidang lainnya beserta wakil-wakilnya.",Azis.-,Azis
"""Kongres nasional juga akan diisi dengan  seminar yang bertema Membangun Kebersamaan Dalam Kerangka Pluralisme Menuju  Harmonisasi Kehidupan Berbangas dan Bernegara,"" kata Leonard.",Berbangas,Berbangsa
Martinus mengatakan petugas kepolisian berupaya menjaga kondisi keamanan pengunjung dan kelancar aksi konser grup musik asal Inggris itu.,kelancar,kelancaran
"Para mentor berbagi berbagai macam ilmu, termasuk seperti bagaimana pertama kali mengetahui customer dan bagaimana memvalidisasi keinginan customer.",memvalidisasi,memvalidasi
"""Jika situasi meningkat, kami mungkin harus berpemikir mengenai tentara Uni Eropa.",berpemikir,berpemikiran
Hanya saja pihaknya optisimistis permasalahan teknis ini bisa diselesaikan secepatnya.,optisimistis,optimistis
"Daya tarik tersendiir bagi penonton,  ujarnya.",tersendiir,tersendiri
"Khususnya di Kalimanat Timur, lanjut Marwan, kawasan transmigras telah berhasil menjadi sentra ekonomi masayarakat setempat melalui Badan Usaha Milik Desa (BUMDes) Desa Padang Jaya Kecamatan Kuaro Kabupaten Paser yang telah memiliki aset senilai Rp1,3 miliar.",Kalimanat,Kalimantan
"Ada Presiden Zimbabwe Robert Mugabe, Xi Jinping, Sultan hassal Bolkiah, ada Presiden Jokowi.",hassal,hassanal
"Kami sudah memperingatakn warga melalui pengajian dan pertemuan lain, tapi kurang berhasil,"" jelas Suparyono.",memperingatakn,memperingatkan
"Olic, yang melakukan debut internasionalnya pada 2002, merupakan pemain peringkat keempat terbanyak memperkuat Kroasia, di bawah kapten Darijo Srna, kiper Stpe Plestikosa, dan bek yang telah pensiun Josip Simunic.",Stpe,Step
"""Mayoritas korban keracunan merupakan warga kurang mampu dan perlu mendapatkan perhatian, selain itu keluarga pasien hidrocepalus yang merupapakan warga Desa Pabuaran, Kecamatan Sagaranten, Kabupaten Sukabumi ini juga warga yang kurang mampu sehingga biaya pengobatannya ditanggung oleh pemerintah setempat,"" tambahnya.",merupapakan,merupakan
"Dia terluka akibat peganiayaan yang diduga dilakukan oleh anggota polisi berinisial YS, yang bertugas di Pospol Bijaepasu.",peganiayaan,Penganiayaan
"Namun, memang masih sulit menemb bek kokoh Serdadu Tridatu.",menemb,menembus
SBY menyerahkan penonkatifan pejabat negara berdasar ketentuan hukum yang berlaku.,penonkatifan,penonaktifan
Menurut dia pengirimiman tenaga guru ke AS ini merupakan tindak lanjut kerja sama antara Pemprov Sulbar dengan pemerintah Amerika Serikat untuk peningkatan kualifikasi tenaga pendidik di provinsi terbungsu ini.,pengirimiman,pengiriman
"Menteri Luar Negeri, Titus Corlatean, mengatakan pada pertemuan yang sama Romania khawatir oleh perkembanagn yang memburuk di Suriah, dan penting bagi misi PBB di lokasi untuk bisa menyelesaikan secepatnya penyelidikannya mengenai dugaan penggunaan senjata kimia.",perkembanagn,perkembangan
"Makassar (ANTARA News) - Ketua Panitia turnamen sepakbola Sulsel Super League (SSL) U-21 Sri Syahril yang menjadi korban pengeroyokan oknum suporter Pereska Bosowa, memutuskan melapor ke Polsekta Ujung Pandang Makassar, Senin.",Pereska,Perseka
"Tidak hanya itu, Bonek juga tengah menyiapkan aksi di arena Konggres PSSI yang dijadwalkan bakal digelar di Makaasr pada 17 Oktober mendatang.",Makaasr,Makassar
"Silvya melanjutkan, PT Jakpro nantinya harus mempersiapakan segala sesuatu yang berkaian dengan perbaikan tersebut.",berkaian,berpakaian
"Tim yang sebelumnya bernama Campos Meta 1 itu baru memiliki mantan juara seri GP2 Bruno Senna (Brasil), dan diperkirakan Karun Chandhok akan menjadi tandemnya.- Daftar tim F1 2010:1.",tandemnya.-,tandemnya
"Malah disejumlah negara Eropa, banyak ibu-iu yang akan melahirkan sengaja mintan bantuan kepada lumba-lumba.",mintan,Minta
"""Saya turut perihatinkan dengan perilaku sebagian masyarakat saat ini karena kurang memahami nilai-nilai Pancasila, Bhineka Tunggal Ika, UUD 1945 dan NKRI,"" katanya.",perihatinkan,perhatikan
Penurunan tersbeut berselang 19 hari dari kebijan pemerintah menurunkan harga BBM pada 1 Januari 2015.,kebijan,kebijakan
"Pertempuran terpisah pada Jumat menewaskan dua terduga militan di Kanchipora dekat lokasi wisata Gulmarg, kata polisi.",Kanchipora,Kanchipuram
"Itu pasti tidak benar, makanya siswa jangan percaya,"" kata Karno, usai memantua pelaksanaan UN hari pertama di SMAN dan SMKN 1 Pandeglang, di Pandeglang, Senin.",memantua,memantau
Pengusaha jasa kontstruksi juga mengharpakan kebijakan kemudahan pengadaan material konstruksi dan pengurangan pajak impor.,mengharpakan,mengharapkan
