context,wrong,right
Dalam sehari kapal itu maksimal dua kali meenyeberang ke Cilalcap.,meenyeberang,menyeberang
"Dalam orasi ringkasnya menjelang sesi tanya jawab,  Sobary yang meraih predikat sangat memuaskan dalam mempertahankan disertasinya itu   menguraikan latar belakang penelitiannya terhadap petani tembakau Temanggung yang mulai terancam dengan kuluarnya UU No.",kuluarnya,keluarnya
Seremoni penyambutan secara militer itu akman elibatkan pasukan kehormatan yang berasal dari pasukan pengamanan presiden (paspampres).,elibatkan,melibatkan
"""Daripada dinaikkan lebih baik diturunkan, untuk mendorong pasangan calon yang baru dan terjadinya regenarasi dalam dunia politik,"" kata dia.",regenarasi,regenerasi
"Upaya penyalamatan dilakukan oleh kapal-kapal dari Italia, Inggris, Slovenia, dan Jerman, katanya.",penyalamatan,penyelamatan
"Hartoyo menyadari, perjuanganya untuk meraup suara bakal sulit, karena modal yang ia miliiki sangat pas-pasan.",miliiki,miliki
Dari 500 orang itu kebanyakan usia remaja akibat menimnya pengetahuan berlalu lintas.,menimnya,minimnya
Penyanyi tahun 90-an trsebut mengatakan hasil dari iklan tersebut akan disumbangkan untuk upaya pelestarian dan konservasi badak.,trsebut,tersebut
"""Dan jika Anda tanyai pelatih casangan kami (Warren Joyce), yang melatih dia musim lalu, dia akan berkata posisi terbaik untuk pemain yang satu itu adalah nomor sembilan karena dia bermain di posisi itu selama di cadangan, jadi semua dari empat posisi top mampu dia isi.",casangan,cadangan
"Firman mengatakan, perubahan aturan hanya beberapa hari sebelum Ptesiden Yudhoyono mengangkay wakil menteri menunjukkan pemerintah tak transparan terhadap publik.",Ptesiden,Presiden
"Ada yang malu-malu, ada yang tampil genit dan percaya diri, bahkan ada yang jalannya seperti dikejar-kajar karena ingin cepat kembali ke back stage.",dikejar-kajar,dikejar-kejar
Deodoran biasa dan antiperspiran bekerja dengan membunuh secara acak bakteri ketiak atau dengan menahan kelenjar keringat tubuh.,antiperspiran,antiperspirant
"Dalam pengakuannya, dia juga menyampaikan terima kasih kepads fans Christina.",kepads,kepada
Jakarta (ANTARA News) - Band asal Bandung The S. I. G. I. T mengaransmen ulang dua lagu milik seniman Erros Djarot.,mengaransmen,mengaransemen
"Seusai pngundian dan penetapan nomor urut calon, lanjut Makmun, KPU akan melanjutkan tahapan berikutnya, yakni pengadaan logistik dan tahapan kampanye yang akan dilakukan pada 9 Oktober 2013.",pngundian,pengundian
"Anda perlu menganalisa terus bagaimana orang menjadi sukses, misalknya melalui seminar-seminar,"" ujarnya.",misalknya,misalnya
"""Polda harus menjelaskan persoalan ini secara transparan, dan kalau tidak dilakukan maka DPRD mendesak pembentukan Pansus penerimaan taruna Akpol untuk mengumpulkan inormasi dan data serta menguji kebenaran,"" katanya.",inormasi,informasi
"Hal tersebut, kata dia, disebabkan karena para PKL Monas sudah paham bahwa pihak yang berwenang melakukan penertiban yang berlandaskan Peraturan Daerah (Perda) hanyah Satpol PP.",hanyah,hanya
"""Para pebisnis yang menjarah minyak, tambang, dan hutan Indonesia tidak layak menemptkan CEO dan orangnya dalam jajaran kabinet,"" tegas Salamuddin.",menemptkan,menempatkan
", embaga yang dipimpinnya.",embaga,lembaga
"Persibat yang sudah tertinggal 2-0 terus menekan barisan lini belakang Persik yang dijaga oleh Harianto, Fikhi Ramadhan, dan Panji Susanto.",Fikhi,Fikri
"Dirinya pun sangat mengagumi Ayu, karena putri kilima dari Sekda NTB itu memakai hijab.",kilima,kelima
"JAKARTA, KOMPAS.com - Pusat Peragaan Ilkmu Pengetahuan dan Teknologi (PPIPTEK) di Taman Mini Indonesia membuka Wahana Robotik.",Ilkmu,Ilmu
Hal ini membuat Barcelpna dikonfirmasi bakal datangkan penyerang pada transfer musim panas.,Barcelpna,Barcelona
Mereka akan bertanding memperebutkan 19 nedali di 19 nomor yang di lombakan.,nedali,medali
Pepustakaan desa pun mulai mengembangkan diri lewat perpustakaan keliling dengan menggunakan sepeda motor.,Pepustakaan,Perpustakaan
Ia menuturkan kejadian itu dipenggruhi faktor kecapekan.,dipenggruhi,dipengaruhi
"Koalisi pun sipatnya naik turun juga, terkadang hubungan mesra dan sebaliknya ada juga masalah.",sipatnya,sifatnya
Serangan bisa terjadi kapan saja termasui di tempat-tempat yang dikunjungi warga asing.,termasui,termasuk
"""Berikut Form model DB-1 baik DPR RI dan DPRD Provinsi suara caleg fantastis dengan mengalahlkan suara partai.",mengalahlkan,mengalahkan
Sumber itu mengatakan Netanyahu memilih satu tim kecil panasehat dengan Jaksa Agung Yitzhak Molcho sebagai ketua juru runding.,panasehat,penasehat
Kini Kalabia telah sandar di Sorong dan b ersiap menuju Waisai Rajaampat.,ersiap,bersiap
Tidak ada alasan KMP tolak Perrpu tentang Pilkada,Perrpu,Perpu
"Disamping terdapat dua bangunan persembahan, kolam ikan serta tuguh yang berdiri tegak ditengah pusarah makam para pejuang.",pusarah,pusara
"Jadi, cumi-cumi yang kehilangan mata akan tetap hidup dan memiuliki mata baru.",memiuliki,memiliki
Wali Kota izikan Persis LI gunakan Stadion Sriwedari,izikan,izinkan
"JAKARTA, JUMAT - Biro Perlengkapan DKI Jakarta akhirnya membatalkan penggunaan jasa penagihan (debt collector) atas kewajiban terhadap penyediaan fasilitas umum dan fasilitas sosial berupan rumah susun kepada pengembang tahun 2008 ini.",berupan,berupa
"Bahkan sekiranya pun Pak Rusli bersalah secara hukum, tidak patut kita menghina-dina beliau,"" tuturnya.",menghina-dina,menghina-hina
Kapten tim Persepam Zainal Arif juga menyatakan kegembiraaanya dengan hasil yang diraih timnya.,kegembiraaanya,kegembiraannya
"Di hari pembukaan pada Sabtu lalu, wahana tersebut dikunjunggi 3.000 orang.",dikunjunggi,dikunjungi
"Menurut Freddy, foto udara yang dipotret tim evakuasi menunjukkan sebbagian besar badan pesawat utuh dan hanya bagian kepala pesawat yang patah.",sebbagian,sebagian
"Contoh konrit dari aksi organisasi radikal di Cirebon yang baru terjadi, ungkap Nuruzzaman, yakni penghentian ibadah di tiga Gereja.",konrit,konkrit
"Menanggapinya, Tri Rismaharii menyambut positif dan berjanji memberi solusi terbaik untuk tim kebanggan masyarakat Kota Pahlawan tersebut.",Rismaharii,Rismaharini
"Merasa penasaran, dia pun membawa serta dua orang dari anak-anak itu mengecek ke lokasi tempat Dea ditinggalkan, setelah mendengar cerira mereka, barulah dia paham kenapa anak-anak diam saat ditanya, ternyata mereka takut untuk mengisahkan.",cerira,cerita
Mereka khawatir jika kebijakan ini dilakukan menyeluruh bakal mengganggu aktivitas transportsi.,transportsi,transportasi
"""Dengan keberhasilan Besudut yang hingga kini masih terus beraktifitas mengajar anak-anak rimba di kawasan tempat tinggalnya di hutan Sarolanglun dan Merangin dengan status guru pendamping fasilitator pendidikan KKI Warsi, kita harapkan dapat pula memotiviasi anak-anak Rimba lainnya untuk juga giat mengejar cita-citanya seperti hal paradigma anak rimba masa kini yang semakin maju menyentuh dunia formal,"" kata Reni.",memotiviasi,memotivasi
"""""Dia pemain MU dan akan tetap menjadi pemanin MU.",pemanin,pemain
"Kutum Basa, Caleg Dapil Jateng III dari PAN menyatakan, lebih dari 50 persen komposisi caleg PAN diisi oleh anak muda.",Kutum,Kutub
Kombes Pol Coku Manurung dari Kabagjianjemenkam jadi Pamen Bareskrim62.,Coku,Coki
"""Gerakan pungut sampah untuk mengajak masyarakat menjaga dan ikut memelihara kebersihkan lingkungan,"" kata Gubernur, saat membuka kegiatan yang dipusatkan di Pantai Panjang, Jumat.",kebersihkan,kebersihan
Komisi antirasiah itu bahkan ingin segera membawa anggota Komisi III DPR itu ke pengadilan.,antirasiah,anti-rasiah
Ini akibat belum turunnya perintah dari Preside n Susilo Bambang Yudhoyono untuk membayarkan uang kompensasi kenaikan harga bahan bakar minyak atau BBM tersebut.,perinta,perintah
"JAKARTA, KOMPAS.com - Lintasan jalan Puncak-Cianjur yang sebelumnya tertutup longsor sudah dibuka khusus untuk sepeda motor.",belumn,belum
"Direktur Research SMRC Djayadi Hanan saat mempublikasika hasil survei SMRC itu mengatakan, kampanye terbuka dan pengumuman Jokowi sebagai capres tidak banyak berpengaruh pada peta kekuatan partai.",mempublikasika,mempublikasikan
Mamuju (ANTARA News) - Partai Nasional Demokrat meraah dua kursi di DPRD Provinsi Sulawesi Barat pada Pemilu 2014.,meraah,merah
"Tetapi setelah itu, Taufik tertahan dan lawannya bisa balik memimpinj 17-16, sebelum menang 21-17.",memimpinj,memimpin
Pernyataan tersebut resmi disampaikan juru bicara milliter Israel Oerter Lerner setelah pasukannya kembali membombardir kawasan selatan Palestina yang menewaskan sedikitnya 50 orang.,milliter,militer
"Selain itu, Keabsahan SK itu juga masih disangsikan karena tidak ada konsederans yang jelas sebagaimana layaknya SK resmi lainnya.",konsederans,konsiderans
"Kalau masih anak-anak, apa bisa itu terwujud, khawtirnya justru akan mengganggu perkembangan mental si anak,"" katanya.",khawtirnya,khawatirnya
"Sementara itu, komisioner KPU Kalbar Kasiono mengatakan pihaknya siap untuk menyampaikan transparansi dana yang dialokaskan ke KPU.",dialokaskan,dialokasikan
Karenanya PAN harus secara hati-hati mencermati keinginan pemerintah merrevisi UU Antiterorisme.,merrevisi,merevisi
"""Ini kan aneh, orang yang tidak pernah kuliah, tapi tiba-tiba mengantogi ijazah.",mengantogi,mengantongi
Tim SAR sebelumnya juga telah mengivakuasi dua pendaki yang mengalami masalah di atas.,mengivakuasi,mengevakuasi
"""Kelima, bahwa perilaku Hakim Terlapor yang mengadakan pertemuan dengan Anggota DPR CHN (Chairun Nisa) di ruang kerja Hakim Terlapor pada 9 juli 2013, dan dihubungkan dengan peristiwa penangkapan Anggota DPR CHN yang berada di tempat yang sama dengan hakim terlapor, pada saat keduanya ditangkap oleh KPK di rumah jabatan hakim terlapor pada 2 Oktober 2013 karena dugaan penyuapan, menimbulkan keyakinan Majelis Kehormatan bahwa peristiwa tesebut berhubunga dengan perkara yang ditangani oleh hakim terlapor,"" lanjut Abbas Said.",berhubunga,berhubungan
"Sepanjang jalan menuju hotel, Kabupaten Belitung Barat tampak asri dan bersih, umbul-umbul selamat datang terpampamg di sisi-sisi jalan.",terpampamg,terpampang
"Hingga berita ini dilaporkan, sudah ada tujuh korban yang meninggal dunia, yaitu Darmah Prasetyo (25) (masinis), Agus Suroto (24) (asisten masinis), Sopyan Hadi (20), Elrisa Maghfirah (16), Rosa Elizabeth (73), Bety Ariani (56) dan Natali (23).",Darmah,Darman
tannya meminta Regina mengembalikan mahar pernikahan.,tannya,tanya
"Konsumsi ""junk food""Makanan yang tinggi gula dan karbohidrat sederhana memiliki peringkat tinggi soal indeks glisemik (GI) -- indikator seberapa cepat karbohidrat meningkatkan gula darah.",glisemik,glikemik
Penemuan dengan pencitraan secara langsung bisa dilakukan sebab ukuran HD 131399Ab yang besar menurut sudiut pandang manusia.,sudiut,sudut
"Jumat lalu paling sedikit 70 orang tewas dan 550 orang terkula setelah rezim Suriah membombardir Douma, sebuah kota besar di Ghouta Timur, demikian AFP.",terkula,terkulai
"Korut enggan meninjaklanjuti pakta gencatan senjata penghentian Perang Korea 1953 silam, menjadi pakta perdamaian untuk mengakhiri peperangan.",meninjaklanjuti,menindaklanjuti
"""Menurut hasil ppemantauan tindak lanjut hasil pemeriksaan per 30 Juni 2010, diketahui bahwa persentase uang yang belum diselamatkan sebesar 76,52 persen, dan total nilai temuan periode 2004 sampai 2009 (tahun pemeriksaan) sebesar Rp 422.741 (dalam juta rupiah) dengan persentase yang belum ditindaklanjuti sebesar 12,41 persen,"" katanya.",ppemantauan,pemantauan
"Empat gol yang membobol gawang Persela yang dikawal Rony Tri itu masing-masing dipersembanhkan oleh Cristian Gonzales pada mneit ke-1 dan ke-66, Samsul Arif pada menit ke-45  dan satu gol lainnya disumbang Gustavo Lopez pada menit ke-54.",dipersembanhkan,dipersembahkan
"Kendati demikian, dari hasil survey tersebut Wempy menjelaskkan bahwa hanya 17,2 responden yang akan memilih partai pengusung presiden Joko Widodo pada pemilu mendatang.",menjelaskkan,menjelaskan
"Ansyaad menambahkan, pemerintah sangat memerlukan bantuan para ulama untuk menjalankan program deradikalisasi atau meluruskan paham-pahak radikal di tengah masyarakat.",paham-pahak,paham-paham
"Untuk memadampan api tersebut, sedikitnya 300 personel gambungan antara dari BPBD dan masyarakat diturunkan ke lokasi.",gambungan,gabungan
Oesman mengatakan dunia perpajakan adalah salah satu yang utama dalam pambangunan sebuah bangsa.,pambangunan,pembangunan
"Menurut pria yang lebih akrab disapa Ahok sehari-hari itu, keberadaan parkir liar di wilayah ibukota sangat mempengaruhi Pendapatan Asli Daerah (PAD) DKI Jakarta, terutama dari segi retibusi parkir.",retibusi,retribusi
"Meski nilainya tidak fantastis namun itu adalah investasti pertama Twitter untuk perangkat keras, yang kelihatannya akan menjadi sebuah platform berbagi musik.",investasti,investasi
"Sesungguhnya bukan babak baru sama sekali, karena jauh sebelum kegandurungan ujian nasional yang merupakan bagian dari pola pendidikan liberal di negeri maju diterapkan, pendidikan dasar tak dijalankan dengan menyelenggarakan ujian nasional.",kegandurungan,kegandrungan
"HANOI, KOMPAS.com - Para petugas imigrasi Vietnam menolak memberi cap visa di atas pspor China baru yang kontroversial karena menampilkan peta China termasuk hampir seluruh wilayah sengketa di Laut China Selatan.",pspor,paspor
Letusan terdahsyar gunung ini terjadi pada 20-24 Januari 1913.,terdahsyar,terdahsya
"""Perusahaan-perusahaan tersebut meraih keuntungan yang besar,"" katanya dalam sebuah seminar The Challenge frorm Quantitative Easing to Economics Management in Southest Asia:  ""Indonesias Experience"" di Kuala lumpur, Malaysia, Senin.",frorm,from
"""Apa yang sudah kami lakukan adalah menambah bahan tambahan dan pelumas khusus musim digin agar tank-tank kami tak membeku di sana,"" kata Kolonel Vijay Dalal, salah seorang komandan resimen tank AD India, seperti dikutip harian The Hindu.",digin,dingin
"Aprindy mengatakan, untuk pembiayaan proyek itu sebanyok 30 persen dan konsorsium BUMN (Adhi Karya, INKA, Jasa Marga), dan 70 persen berasal dari pinjaman.",sebanyok,sebanyak
Tangerang (ANTARA News) - Direktur Utama PT Garuda Indonesia (Persero) Tbk yang baru ditunjuk Arif Wibowo memfokuskan tiga strategi priotitas untuk kembali membangkitkan perusahaan pelat merah itu karena sempat merugi di akhir 2014.,priotitas,prioritas
"Jawapos.com DUMAI- Sejak pisah ranjang dengan isteri, Ir (40) mulai kebingungan mencari pelampiasan nafsunya.",DUMAI-,DUMAI
"Menurut dia, pemukulan tersebut tidak sengaja dan bukan kehedak dari massa karena saat itu emosi massa yang tidak puas terhadap tuntutan mereka agar Bupati Agam Indra Catri untuk menemui mereka tidak dikabulkan.",kehedak,kehendak
"Pengembangan kerjasama antara lain dengan ADB, Uni Eropa, World Bank, dan negara sahbat seperti Jepang dan Australia.",sahbat,sahabat
"Menlu Ri Sy Yong menyerukan reformasi Dewan Keamanan PBB, yang memberlakukan sanksi-sanksi keras terhadap Korut menyangkut program nuklirnya dan peluncaran rudal.",peluncaran,peluncuran
"Sementara itu, Menteri Kesehatan Wndang Sri Sedyaningsih tidak tampak dan hanya diwakili salah satu dirjennya.",Wndang,Endang
"""Soumar memiliki ciri yang berbeda dalam masalah jangkauan dan keakuratan dibandingkan dengan produk Iran sebelumnya,"" kata Mnteri Pertahanan Brigadir Jenderal Hossein Dehgan dalam upacara pengumuman yang dihadiri para pejabat senior Iran, Ahad.",Mnteri,Menteri
"Ketiga temannya yang selamat yatitu Ikbal (12), Misbah (13) dan Latif (13).",yatitu,yaitu
"Hal lain, figur Tayasu perccaries justru tak ditemukan.",perccaries,percaries
"Didesak pertanyaan lagi apakah dirinya percaya proses hukum KPK yang sekarang ini benar-benar berjalan independen dan tuntas,  Kalla menjawab lagi,   Kalau kita tidak perrcaya KPK, maua percaya siapa lagi?",maua,mau
"""Kemudian mereka menawarkan karena ada program mengirimikan guru bahasa Inggris.",mengirimikan,mengirimkan
"Pihaknya memberikan apresiasi dengan dideklarsikannya APPEL, karena nantinya apa yang dikerjakan mengarah kepada kepedulian bagaimana menindaklanjutinya, seperti peduli menanam pohon, mentasi sampah dan sebagainya.",dideklarsikannya,dideklarasikannya
Gagal masul ke dalam hotel para pekerja kebersihan itu kemudian membuang sampah di depan pintu hotel tersebut.,masul,masuk
"CAF mengatakan bahwa penyelidikan mereka mendapati bahwa penyerang kelahiran RDK itu lahir pada 12 Desember 1986 seperti terindikasi dalam paspor Rwandanya, sedangkan paspor Kongonya menyebutkan bahwa ia lahir pada 13 Desember 1990.",Kongonya,Kongonnya
"Beberapa diantaranya berlasan, proses pengambilan data yang rumit menjadin kendala untuk membuat E-KTP.",menjadin,menjadi
Ketua Panitia Penyelenggara Perayaan Kartinian Siti Nasyiah mengatakan acara Kartinian yang digelar suporter Bonek dan komunitas RMT (Rek Ayorek Mlaku-Mlaku nang Tunjungan) mendapat antusiame warga Surabaya.,antusiame,antusiasme
Sementara itu Ketua Sanggar Seni Sekar Pandan Elang Heri Komarahadi mengatakan jumlah pelaku seni yang ikut adalah 250 dan itu dari beberapa kelompok seni yang ada di Ckota Cirebin Dan Kabupaten Cirebon.,Cirebin,Cirebon
"""Kami telah menganggap mereka sebagai petani kecil kami, dan sejak awal kami telah mengumpulkan hasl panennya-tak ada tengkulak di Papua Nugini-dan kepercayaan pun terbangun,"" kata Simon.",hasl,hasil
"Kami komite etik akan menyampaikan kepada pimpinan Golkar dan tentu pimpinan Golkar akan menyampaikan kepada panitia penyelenggra munaslub, hasil konsultasi komite etik dengan pimpinan KPK,"" tambah Lawrence.",penyelenggra,penyelenggara
"Ditanya soal  pembiayaan bersama sewa genset antara PLN dengan sekolah sebesar 50 persen, Emir Muhaimin tidak memberikan kepstian jawaban.",kepstian,kepastian
"Lawannya selanjutnya Edmund mendapatkan kemenangan walkover, ketika lawannya yang berasal dari Prancis Paul-Henru Mathieu mengundurkan diri sebelum pertandingan mereka karena cedera pergelangan tangan.",Paul-Henru,Paul-Henri
"Diusianya yang meninjak hampir 80 tahun, BJ Habibe masih tampak sehat.",meninjak,menginjak
"JAKARTA, KOMPAS.com - Menteri Dalam Negeri Tjahjo Kumolo berharap DPR RI segera menyelesaikan pembahasan Peraturan Pemerintah Pengganti Undang-Undang Nomor 1 Tathun 2014 tentang Pemilihan Gubernur, Bupati, dan Wali Kota (Perppu Pilkada).",Tathun,Tahun
"""Ini adalah semacam kisah yang menperanakkan dengar pendapat Kongres,"" kata kelompok merujuk aparatur sensor online China yang disebut ""Great Firewall"".",menperanakkan,memperanakkan
Kementerian Agama minta pungli pasor dilaporkan,pasor,paspor
"Direktur Eksekutif Energy Watch Indonesia, Ferdinand Hutahean mengatakan dengan kebutuhan bahan bakar minyak (BBM) sekitar 47 juta kiloliter (KL) setiap tahunnya atau sekitar 1,6 juta barel per hari, maka tidak heran Indonesia harus mengimpor BBM dan minyak mentah untuk kebutuhan publik.",Hutahean,Hutahaean
"""Sektor III diisi oleh Rusia, (pesawat) BE-200, dengan altitute 10.000 feet.",altitute,altitude
"""Keluarga saya sangat mskin dan uang yang kita miliki tidak cukup untuk membayar sewa dan makanan,"" ujarnya.",mskin,miskin
Bahkan pihaknya sudah mempersiapklan rekomendasi dan data-data pelanggaran yang telah dilakukan FPI untuk dikirim ke Mendagri dan Menkum HAM.,mempersiapklan,mempersiapkan
"Semua orang mulai dari Hactivists hingga negara menggunakan strategi penyebarluasan foto-foto pribadi, informasi, daftar pelanggan, dan kode untuk mempermalukan target mereka.",Hactivists,Hacktivists
"Presiden meminta kepada Menterai Pertanian, Menteri Perdagangan, Bulog pada tahun ini untuk memperhatikan harga sehingga dapat menjaga tingkat inflasi.",Menterai,Menteri
"""Pihak kantor pertanahan Kota Malang, telah menrbitkan sertifikat hak milik nomor 1277 tertanggal 4 Desember 2009 atas nama Ratna Listidjani,"" katanya.",menrbitkan,menerbitkan
"Mengapa tidak, Tuhan menganugerahi saya kenker paru?",kenker,kanker
"Ia kemudian menjadi rookie terbaik, memenangi empat gelar pencetak poin dan menjadi MVP NBA 2001, memimpin Sixers ke Final NBA yang harus kalh dari Lakers yang saat itu diperkuat ONeal.",kalh,kalah
"Melawan Udinese, panampilan anak asuhan Garcia berpegang kepada satu plat keyakinan bahwa ""mimpi mutlak dimiliki dan diwujudkan oleh seorang pemimpin"", apalagi lawan yang bakal dihadapi AC Milan, Inter Milan, Fiorentina, dan Lazio.",panampilan,penampilan
"Menrespon aksi mogok itu, FEF dalam pernyataannya menyebutkan bahwa hal itu tidak akan menyelesaikan masalah tapi malah memperburuk situasi.",Menrespon,Merespon
Kesaksian para pasien ini menunjukkan adanya kesenjangan antara teori dan praktik layanan kesehantan di Afganistan.,kesehantan,kesehatan
"""Ya memang ada (pengaturan),"" ujar Akil tanpa menjelaskan lebih lanjut apa maksud dari pernyattaannya tersebut.",pernyattaannya,pernyataannya
Masalah mendasar lain yang ditawakarkan Menag untuk disorot dan dicarikan solusinya adalah konflik internal antar aliran dan madzhab dalam Islam.,madzhab,mazhab
"Jakarta (ANTARA News) - Ketua Umum Partai Solidaritas Indonesia (PSI), Grace Natalie memberikan apresasi atas keberhasilan Walikota Surabaya Tri Rismaharini dalam membanguan kota terbesar nomor dua di Indonesia menjadi maju dan sejahtera.",apresasi,apresiasi
"Sebelumnya, tindakan pelecehan seksual seperti pemerkosaan terhadap pria di negeri negeti itu tidaklah digolongkan sebagai tindakan kriminal.",negeti,negeri
"Selanjutnya, dibuatkan pengantar untuk pemgurusannya di Kanwil Jatim.",pemgurusannya,pengurusannya
"Saat ini, lanjut Euis, Kemenperin tengah memcari 20 IKM yang akan ikut berpartisipasi untuk memproduksi Equator, dengan petunjuk teknis yang ditentukan Ditjen IKM.",memcari,mencari
"""Bahasa Inggris juga merupakan bekal menghadapi perdagangan bebas, dapat meningkatkan kesejarteraan ekonomi dan pendidikan,"" imbuh Hani.",kesejarteraan,kesejahteraan
Sebagaimana Sumsel akan melaksanakan kejuaraan tunju dunia memperebutkan Piala Presiden yang diikuti utusan petinju dari puluhan negara.,tunju,tinju
"CO. ID, TULUNGAGUNG -- Banjir bandang yang merendam ratusan rumah di tiga desa Kabupaten Tulungagung, Jawa Timur, pada pulkul 21.00 WIB dilaporkan telah berangsur surut seiring telah berhentinya hujan di wilayah atas lereng Gunung Wilis.",pulkul,pukul
"""Salah satunya meningkatkan kemampuan guru untuk mendidik murid penyandang autis,"" kata Wakil Wali Kota Kota Bogor Achmad Ruyat saat membuka pelatihaan tersebut, di SD Negeri Semeru, Menteng, Bogor Tengah, Selasa siang.",pelatihaan,pelatihan
"Menurut dia, bahasa pada dasarnya berungsi sebagai alat untuk komunikasi.",berungsi,berfungsi
"Chong Wei trerakhir kali mengatasi Chen Long di ajang Olimpiade London, Agustus 2012 dengan skor 21-13, 21-14.",trerakhir,terakhir
"Pertama, diperlukan edukasi dan kampanye literasi; kedua , penguatan inffastruktur literasi nasional bentuk infrastruktur basional.",inffastruktur,infrastruktur
"Program pesantren Ramadhan sendiri untuk Kota Padang telah memasuki tahun ke sembilan, dimana setiap tahunnya, hampir semua masjid dan mushala di masing-masiang kecamatan daerah itu, melaksanakan kegiatan tersebut.",masing-masiang,masing-masing
"Setelah pita dipoting, para pejabat dan mantan pejabat Kabupaten Kukar langsung mengglar konvoi kendaraan melewati jembatan baru itu.",mengglar,menggelar
Esmat mengatakan dengang pengetahuan yang luas bagi anak-anak Palestina nantinya konflik antara Palestina dan Israel dapat diredakan.,dengang,dengan
"Boediono yang mengenakan kaos abu-abu dan celana biru saat olahraga di halaman parkir Istana Wapres Jakarta, Jumat, didampingi oleh Sekretaris Wapres Mohammad Oemar, Deputi Politik Setwarpres Dewi Fortuna Anwar, serta seratus pegawai yang sehari-hari bertugas di Sekretariat Wapres.",Setwarpres,Setwapres
Laga final ulangan NBA yang dinanti-natikan itu berubah menjadi malam yang akan sulit dilupakan James dan Cavaliers ketika Golden State membuat mereka kacau balau.,dinanti-natikan,dinanti-nantikan
24 Juli: Pertandingan pesahabatan di kandang lawan Barcelona.,pesahabatan,persahabatan
"Saat ini, kata dia, kejaksaan menunggu pelimpahan tahap dua -berkas dan tersangka- Ivan Haz yang selanjutnya akan dibuat dakwaan hingga segera disidangkan.",tersangka-,tersangka
"""Saya harap pemerintah bisa turun tangan menjaga stabiliitas harga beras,"" katanya.",stabiliitas,stabilitas
Jakarta (ANTARA News) - Kementerian Perhubungan memastikan 205 penumpang pesawat Lion Air jenis Boeing 737-900 registrasi PK-LFT yang mesinnya mengalami ledakan seluruhnya selamat.,PK-LFT,PK-LFF
"Denamark berhasil menurunkan emisi sebesar 8 persen, Inggris dan Jerman sebesar 3 persen.",Denamark,Denmark
Para diplomat mengatakan rancangan resolusi Ukraina yang disusun Rusia sebelmnya setidaknya sebagian sebagai alat tawar menawar karena Barat berusaha untuk menghindari veto Moskow satu resolusi untuk memberikan akses kemanusiaan di Suriah.,sebelmnya,sebelumnya
Dari pemaparannya Wali Kota Bandung saat rapat diketahui bahwa penndanaan dari pemerintah pusat untuk renovasi yang hingga saat ini belum kunjung diberikan.,penndanaan,pendanaan
"""Tadi malam kendaraan macet hibngga 10 Km dari arah barat maupun dari arah timur.",hibngga,hingga
Ada beberapa masalah yang berhasiil diidentifikasi dalam UKG ketiga ini.,berhasiil,berhasil
Ia enuturkan sertifikat ini bisa dijadikan patokan untuk menjaga kualitas dan komoditas produk Teh Java Preangaer secara ekonomi.,Preangaer,Preanger
"Fadli menambahkan bahwa dalam iklan poliitik harus ada akuntabilitas, termasuk soal data.",poliitik,politik
Apakah Anda akan melewatkan kesempatan ini saat semua orang bahu-membahu memberikan perhatian sejank kepada Bumi.,sejank,sejak
"Tetapi ada perusahaan yang justru relatif diuntungkan oleh depresiasi rupiah, yakni perusahaan-perusahaan tekstik yang berorientasi pasar ekspor.",tekstik,tekstil
"Belasan mobil Pemadam Kebakaran dari Dinas Kebersihan, Pertamanan dan Pemadam Kebakaran (DKP PMK) dibantu dari PT Pupuk Kaltim dan Badak LNG, yang dikerahkan ke lokasi kebakaran sempat kesulitaan memadamkan kobaran api karena banyaknya bahan kimia untuk sablon, kaleng cat bangunan serta kertas yang ikut terbakar.",kesulitaan,kesulitan
"Mark Canton, Bernie Goldmann dan Diesel bertindak sebagai produser, sedangkan Samantha Vincent pemain 'One Race' dan Adam Goldworm menjadi eksekutif produser.",Goldmann,Goldman
"Juan Alberto Schiaffino lalu bmenyamakan kedudukan, tapi Brazil masih berada di jalur juara sampai kemudian gelandang Uruguay Alcides Ghiggia mengejutkan kiper Barbosa dari Brazil dengan sepakan pelan pada menit 79 yang sekaligus membungkam stadion raksasa itu.",bmenyamakan,menyamakan
"Indonesia, lanjut Retno, merupakan negara pertama yang memiliki Comprehenssive Partnership Agreement dengan Uni Eropa sehingga wajar jika fondasi kuat yang sudah dibangun tersebut dapat diejawantahkan dalam kerja sama konkret yang menguntungkan rakyat kedua belah pihak.",Comprehenssive,Comprehensive
"""Di sisi lain, apa yang PermataBank sinergikan bersama Go-Jek ini turut membantu pemerintah untuk makin menggalakan cashless society karena dengan semakin mudahnya nasabah mngakses Go-Pay maka budaya bertransaksi non-tunai dapat turut berkembang.",mngakses,mengakses
Masyarakat Indonesia baru saja dikecawakan oleh sikap negeri tetangga dekat Australia karena insiden penyadapan kepada Presiden Susilo Bambang Yudhoyono dan lingkaran dalamnya.,dikecawakan,dikecewakan
Sebagian besar penonton yang juga pennggemar Creed menilai lagu tersebut menupakan ciri khas Creed.,menupakan,merupakan
Wilayah berjuluk Kota Hujan itu sedang berusaha memulihkan reputasi sekaligus lingkungan dari sebuta Kota Sejuta Angkot.,sebuta,sebutan
Pacquiao terus melancarkan pukulan kepada lawannya yang tanpaknya sudah jeri dengan nama besar Pacquiao.,tanpaknya,tampaknya
